Travel expense,Distance,Service time,Age,Work/day,Son,Drinker,Pet,Weight,Height,Absenteeism(hrs)
260,50,11,36,343.253,4,1,0,65,168,8
157,27,6,29,343.253,0,1,0,75,185,3
179,22,17,40,343.253,2,0,0,63,170,8
291,31,12,40,343.253,1,1,1,73,171,8
260,50,11,36,343.253,4,1,0,65,168,8
179,26,9,30,343.253,0,0,0,56,171,8
248,25,14,47,343.253,2,0,1,86,165,3
260,50,11,36,343.253,4,1,0,65,168,40
179,22,17,40,343.253,2,0,0,63,170,40
155,12,14,34,343.253,2,1,0,95,196,16
260,50,11,36,343.253,4,1,0,65,168,16
155,12,14,34,343.253,2,1,0,95,196,8
289,36,13,33,343.253,2,1,1,90,172,8
179,22,17,40,343.253,2,0,0,63,170,8
260,50,11,36,343.253,4,1,0,65,168,4
225,26,9,28,343.253,1,0,2,69,169,1
279,5,14,39,343.253,2,1,0,68,168,8
179,51,18,38,343.253,0,1,0,89,170,24
225,26,9,28,343.253,1,0,2,69,169,2
225,26,9,28,343.253,1,0,2,69,169,8
179,26,9,30,343.253,0,0,0,56,171,1
225,26,9,28,343.253,1,0,2,69,169,8
225,26,9,28,343.253,1,0,2,69,169,16
179,51,18,38,343.253,0,1,0,89,170,3
279,5,14,39,343.253,2,1,0,68,168,16
225,26,9,28,343.253,1,0,2,69,169,2
248,25,14,47,343.253,2,0,1,86,165,3
225,26,9,28,343.253,1,0,2,69,169,1
291,31,12,40,326.452,1,1,1,73,171,1
225,26,9,28,326.452,1,0,2,69,169,1
155,12,14,34,326.452,2,1,0,95,196,1
246,25,16,41,326.452,0,1,0,67,170,24
155,12,14,34,326.452,2,1,0,95,196,1
225,26,9,28,326.452,1,0,2,69,169,2
260,50,11,36,326.452,4,1,0,65,168,4
179,51,18,38,326.452,0,1,0,89,170,24
118,13,18,50,326.452,1,1,0,98,178,1
291,31,12,40,326.452,1,1,1,73,171,3
246,25,16,41,326.452,0,1,0,67,170,8
291,31,12,40,326.452,1,1,1,73,171,1
248,25,14,47,326.452,2,0,1,86,165,8
260,50,11,36,326.452,4,1,0,65,168,56
289,36,13,33,326.452,2,1,1,90,172,8
155,12,14,34,326.452,2,1,0,95,196,24
378,49,11,36,326.452,2,0,4,65,174,8
289,36,13,33,326.452,2,1,1,90,172,16
235,11,14,37,326.452,1,0,1,88,172,3
235,29,12,48,326.452,1,0,5,88,163,0
289,36,13,33,378.884,2,1,1,90,172,8
155,12,14,34,378.884,2,1,0,95,196,2
155,12,14,34,378.884,2,1,0,95,196,1
179,51,18,38,378.884,0,1,0,89,170,8
225,26,9,28,378.884,1,0,2,69,169,8
184,42,7,27,378.884,0,0,0,58,167,4
155,12,14,34,378.884,2,1,0,95,196,2
179,51,18,38,378.884,0,1,0,89,170,1
289,36,13,33,378.884,2,1,1,90,172,24
279,5,14,39,378.884,2,1,0,68,168,0
330,16,4,28,378.884,0,0,0,84,182,0
378,49,11,36,378.884,2,0,4,65,174,0
388,15,9,50,378.884,0,0,0,76,178,0
179,51,18,38,378.884,0,1,0,89,170,1
118,13,18,50,378.884,1,1,0,98,178,24
361,52,3,28,378.884,1,1,4,80,172,8
246,25,16,41,377.55,0,1,0,67,170,8
361,52,3,28,377.55,1,1,4,80,172,8
246,25,16,41,377.55,0,1,0,67,170,24
291,31,12,40,377.55,1,1,1,73,171,4
246,25,16,41,377.55,0,1,0,67,170,8
179,51,18,38,377.55,0,1,0,89,170,8
155,12,14,34,377.55,2,1,0,95,196,4
246,25,16,41,377.55,0,1,0,67,170,8
118,13,18,50,377.55,1,1,0,98,178,8
235,11,14,37,377.55,1,0,1,88,172,16
118,13,18,50,377.55,1,1,0,98,178,1
118,13,18,50,377.55,1,1,0,98,178,80
378,49,11,36,377.55,2,0,4,65,174,8
179,51,18,38,377.55,0,1,0,89,170,2
289,48,29,49,377.55,0,0,2,108,172,2
225,26,9,28,377.55,1,0,2,69,169,2
155,12,14,34,275.312,2,1,0,95,196,16
118,13,18,50,275.312,1,1,0,98,178,8
118,10,10,37,275.312,0,0,0,83,172,8
118,10,10,37,275.312,0,0,0,83,172,4
330,16,4,28,275.312,0,0,0,84,182,8
179,26,9,30,275.312,0,0,0,56,171,8
155,12,14,34,275.312,2,1,0,95,196,2
330,16,4,28,275.312,0,0,0,84,182,8
330,16,4,28,275.312,0,0,0,84,182,8
157,27,6,29,275.312,0,1,0,75,185,3
361,52,3,28,275.312,1,1,4,80,172,8
289,36,13,33,275.312,2,1,1,90,172,8
179,51,18,38,275.312,0,1,0,89,170,8
289,36,13,33,275.312,2,1,1,90,172,32
289,36,13,33,275.312,2,1,1,90,172,8
260,50,11,36,275.312,4,1,0,65,168,0
289,36,13,33,265.615,2,1,1,90,172,8
157,27,6,29,265.615,0,1,0,75,185,3
289,36,13,33,265.615,2,1,1,90,172,1
228,14,16,58,265.615,2,0,1,65,172,8
300,26,13,43,265.615,2,1,1,77,175,1
300,26,13,43,265.615,2,1,1,77,175,2
260,50,11,36,265.615,4,1,0,65,168,4
289,36,13,33,265.615,2,1,1,90,172,4
248,25,14,47,265.615,2,0,1,86,165,1
268,11,8,33,265.615,0,0,0,79,178,8
179,26,9,30,265.615,0,0,0,56,171,1
118,13,18,50,265.615,1,1,0,98,178,3
248,25,14,47,265.615,2,0,1,86,165,2
235,11,14,37,265.615,1,0,1,88,172,1
118,13,18,50,265.615,1,1,0,98,178,1
235,11,14,37,265.615,1,0,1,88,172,8
361,52,3,28,265.615,1,1,4,80,172,8
184,42,7,27,265.615,0,0,0,58,167,8
179,51,18,38,294.217,0,1,0,89,170,8
179,51,18,38,294.217,0,1,0,89,170,3
289,36,13,33,294.217,2,1,1,90,172,24
235,20,13,43,294.217,1,1,0,106,167,0
246,25,16,41,294.217,0,1,0,67,170,16
291,31,12,40,294.217,1,1,1,73,171,3
231,35,14,39,294.217,2,1,2,100,170,0
291,50,12,32,294.217,0,1,0,65,169,0
179,51,18,38,294.217,0,1,0,89,170,8
246,25,16,41,294.217,0,1,0,67,170,32
179,51,18,38,294.217,0,1,0,89,170,1
291,31,12,40,294.217,1,1,1,73,171,4
260,50,11,36,294.217,4,1,0,65,168,4
235,20,13,43,294.217,1,1,0,106,167,8
118,13,18,50,294.217,1,1,0,98,178,1
235,20,13,43,294.217,1,1,0,106,167,0
291,31,12,40,294.217,1,1,1,73,171,3
291,31,12,40,294.217,1,1,1,73,171,40
179,51,18,38,294.217,0,1,0,89,170,8
289,36,13,33,265.017,2,1,1,90,172,8
235,11,14,37,265.017,1,0,1,88,172,4
289,36,13,33,265.017,2,1,1,90,172,8
289,36,13,33,265.017,2,1,1,90,172,8
118,13,18,50,265.017,1,1,0,98,178,0
248,25,14,47,265.017,2,0,1,86,165,0
179,26,9,30,265.017,0,0,0,56,171,8
118,10,10,37,265.017,0,0,0,83,172,3
369,17,12,31,265.017,3,1,0,70,169,8
179,51,18,38,265.017,0,1,0,89,170,1
179,26,9,30,265.017,0,0,0,56,171,64
235,20,13,43,265.017,1,1,0,106,167,0
289,36,13,33,265.017,2,1,1,90,172,16
260,50,11,36,265.017,4,1,0,65,168,3
235,20,13,43,265.017,1,1,0,106,167,0
235,20,13,43,265.017,1,1,0,106,167,2
235,20,13,43,265.017,1,1,0,106,167,2
118,13,18,50,265.017,1,1,0,98,178,1
291,31,12,40,265.017,1,1,1,73,171,4
179,26,9,30,265.017,0,0,0,56,171,16
118,13,18,50,265.017,1,1,0,98,178,1
361,52,3,28,265.017,1,1,4,80,172,8
260,50,11,36,265.017,4,1,0,65,168,0
291,31,12,40,265.017,1,1,1,73,171,0
157,27,6,29,265.017,0,1,0,75,185,0
179,26,9,30,265.017,0,0,0,56,171,5
179,26,9,30,265.017,0,0,0,56,171,5
118,13,18,50,265.017,1,1,0,98,178,1
118,10,10,37,284.031,0,0,0,83,172,8
248,25,14,47,284.031,2,0,1,86,165,2
179,51,18,38,284.031,0,1,0,89,170,8
260,50,11,36,284.031,4,1,0,65,168,3
291,31,12,40,284.031,1,1,1,73,171,1
378,49,11,36,284.031,2,0,4,65,174,8
155,12,14,34,284.031,2,1,0,95,196,120
235,20,13,43,284.031,1,1,0,106,167,8
330,16,4,28,284.031,0,0,0,84,182,0
235,11,14,37,284.031,1,0,1,88,172,1
118,10,10,37,284.031,0,0,0,83,172,3
235,11,14,37,284.031,1,0,1,88,172,2
179,51,18,38,284.031,0,1,0,89,170,3
246,25,16,41,284.031,0,1,0,67,170,8
291,31,12,40,284.031,1,1,1,73,171,4
246,25,16,41,284.031,0,1,0,67,170,8
179,51,18,38,284.031,0,1,0,89,170,1
260,50,11,36,284.031,4,1,0,65,168,8
260,50,11,36,284.031,4,1,0,65,168,8
378,49,11,36,284.031,2,0,4,65,174,0
279,5,14,39,284.031,2,1,0,68,168,0
179,51,18,38,284.031,0,1,0,89,170,1
225,26,9,28,236.629,1,0,2,69,169,3
179,51,18,38,236.629,0,1,0,89,170,2
179,51,18,38,236.629,0,1,0,89,170,1
235,11,14,37,236.629,1,0,1,88,172,3
118,13,18,50,236.629,1,1,0,98,178,1
260,50,11,36,236.629,4,1,0,65,168,4
246,25,16,41,236.629,0,1,0,67,170,8
179,51,18,38,236.629,0,1,0,89,170,1
179,51,18,38,236.629,0,1,0,89,170,1
179,26,9,30,236.629,0,0,0,56,171,1
118,10,10,37,236.629,0,0,0,83,172,8
235,11,14,37,236.629,1,0,1,88,172,2
179,51,18,38,236.629,0,1,0,89,170,1
235,20,13,43,236.629,1,1,0,106,167,8
235,11,14,37,236.629,1,0,1,88,172,4
260,50,11,36,236.629,4,1,0,65,168,8
157,27,6,29,236.629,0,1,0,75,185,2
179,51,18,38,236.629,0,1,0,89,170,3
289,36,13,33,236.629,2,1,1,90,172,8
225,26,9,28,330.061,1,0,2,69,169,5
118,10,10,37,330.061,0,0,0,83,172,32
155,12,14,34,330.061,2,1,0,95,196,2
235,11,14,37,330.061,1,0,1,88,172,1
155,12,14,34,330.061,2,1,0,95,196,4
289,36,13,33,330.061,2,1,1,90,172,8
291,31,12,40,330.061,1,1,1,73,171,8
235,20,13,43,330.061,1,1,0,106,167,8
118,13,18,50,330.061,1,1,0,98,178,4
179,51,18,38,330.061,0,1,0,89,170,1
179,51,18,38,330.061,0,1,0,89,170,1
118,10,10,37,251.818,0,0,0,83,172,2
179,51,18,38,251.818,0,1,0,89,170,3
225,26,9,28,251.818,1,0,2,69,169,1
289,36,13,33,251.818,2,1,1,90,172,3
260,50,11,36,251.818,4,1,0,65,168,3
179,51,18,38,251.818,0,1,0,89,170,3
179,51,18,38,251.818,0,1,0,89,170,2
179,51,18,38,251.818,0,1,0,89,170,3
179,51,18,38,251.818,0,1,0,89,170,8
246,25,16,41,251.818,0,1,0,67,170,8
179,51,18,38,251.818,0,1,0,89,170,3
189,29,13,33,251.818,2,0,2,69,167,8
179,51,18,38,251.818,0,1,0,89,170,3
246,25,16,41,251.818,0,1,0,67,170,2
291,31,12,40,251.818,1,1,1,73,171,2
157,27,6,29,251.818,0,1,0,75,185,16
179,51,18,38,251.818,0,1,0,89,170,3
179,51,18,38,251.818,0,1,0,89,170,3
246,25,16,41,251.818,0,1,0,67,170,24
179,51,18,38,251.818,0,1,0,89,170,3
179,51,18,38,251.818,0,1,0,89,170,3
118,10,10,37,244.387,0,0,0,83,172,8
246,25,16,41,244.387,0,1,0,67,170,16
246,25,16,41,244.387,0,1,0,67,170,2
260,50,11,36,244.387,4,1,0,65,168,4
179,51,18,38,244.387,0,1,0,89,170,2
235,11,14,37,244.387,1,0,1,88,172,8
179,22,17,40,244.387,2,0,0,63,170,8
378,49,11,36,244.387,2,0,4,65,174,8
179,51,18,38,244.387,0,1,0,89,170,16
361,52,3,28,244.387,1,1,4,80,172,8
369,17,12,31,244.387,3,1,0,70,169,0
235,11,14,37,244.387,1,0,1,88,172,8
118,13,18,50,244.387,1,1,0,98,178,2
118,13,18,50,244.387,1,1,0,98,178,3
118,13,18,50,244.387,1,1,0,98,178,8
235,11,14,37,244.387,1,0,1,88,172,0
246,25,16,41,244.387,0,1,0,67,170,0
118,13,18,50,244.387,1,1,0,98,178,0
179,51,18,38,244.387,0,1,0,89,170,8
289,36,13,33,244.387,2,1,1,90,172,8
260,50,11,36,244.387,4,1,0,65,168,8
246,25,16,41,244.387,0,1,0,67,170,2
179,51,18,38,239.409,0,1,0,89,170,4
260,50,11,36,239.409,4,1,0,65,168,3
330,16,4,28,239.409,0,0,0,84,182,4
369,17,12,31,239.409,3,1,0,70,169,4
248,25,14,47,239.409,2,0,1,86,165,4
330,16,4,28,239.409,0,0,0,84,182,8
179,51,18,38,239.409,0,1,0,89,170,8
118,13,18,50,239.409,1,1,0,98,178,1
118,13,18,50,239.409,1,1,0,98,178,120
300,26,13,43,239.409,2,1,1,77,175,8
260,50,11,36,239.409,4,1,0,65,168,4
179,51,18,38,239.409,0,1,0,89,170,4
118,10,10,37,239.409,0,0,0,83,172,2
235,20,13,43,246.074,1,1,0,106,167,16
248,25,14,47,246.074,2,0,1,86,165,2
369,17,12,31,246.074,3,1,0,70,169,8
179,26,9,30,246.074,0,0,0,56,171,3
179,51,18,38,246.074,0,1,0,89,170,4
361,52,3,28,246.074,1,1,4,80,172,1
260,50,11,36,246.074,4,1,0,65,168,3
179,22,17,40,246.074,2,0,0,63,170,2
179,22,17,40,246.074,2,0,0,63,170,3
228,14,16,58,246.074,2,0,1,65,172,8
225,26,9,28,246.074,1,0,2,69,169,3
330,16,4,28,246.074,0,0,0,84,182,8
179,26,9,30,246.074,0,0,0,56,171,2
118,10,10,37,246.074,0,0,0,83,172,1
235,11,14,37,246.074,1,0,1,88,172,8
179,26,9,30,246.074,0,0,0,56,171,3
118,10,10,37,253.957,0,0,0,83,172,3
179,51,18,38,253.957,0,1,0,89,170,3
118,10,10,37,253.957,0,0,0,83,172,2
225,26,9,28,253.957,1,0,2,69,169,4
260,50,11,36,253.957,4,1,0,65,168,4
179,51,18,38,253.957,0,1,0,89,170,0
291,31,12,40,253.957,1,1,1,73,171,40
179,51,18,38,253.957,0,1,0,89,170,24
246,25,16,41,253.957,0,1,0,67,170,3
179,51,18,38,253.957,0,1,0,89,170,4
235,20,13,43,253.957,1,1,0,106,167,8
179,51,18,38,253.957,0,1,0,89,170,2
225,26,9,28,253.957,1,0,2,69,169,2
118,13,18,50,253.957,1,1,0,98,178,2
179,51,18,38,253.957,0,1,0,89,170,8
179,26,9,30,253.957,0,0,0,56,171,2
246,25,16,41,253.957,0,1,0,67,170,2
330,16,4,28,253.957,0,0,0,84,182,1
235,11,14,37,253.957,1,0,1,88,172,8
179,26,9,30,230.29,0,0,0,56,171,2
225,26,9,28,230.29,1,0,2,69,169,4
260,50,11,36,230.29,4,1,0,65,168,8
268,11,8,33,230.29,0,0,0,79,178,8
330,16,4,28,230.29,0,0,0,84,182,8
118,10,10,37,230.29,0,0,0,83,172,8
260,50,11,36,230.29,4,1,0,65,168,4
118,10,10,37,230.29,0,0,0,83,172,8
300,26,13,43,230.29,2,1,1,77,175,8
235,29,12,48,230.29,1,0,5,88,163,1
246,25,16,41,230.29,0,1,0,67,170,2
225,26,9,28,230.29,1,0,2,69,169,112
179,51,18,38,230.29,0,1,0,89,170,1
118,13,18,50,230.29,1,1,0,98,178,1
361,52,3,28,230.29,1,1,4,80,172,8
289,36,13,33,230.29,2,1,1,90,172,8
235,20,13,43,230.29,1,1,0,106,167,8
246,25,16,41,230.29,0,1,0,67,170,2
291,31,12,40,230.29,1,1,1,73,171,1
279,5,14,39,230.29,2,1,0,68,168,2
179,51,18,38,249.797,0,1,0,89,170,4
179,22,17,40,249.797,2,0,0,63,170,1
246,25,16,41,249.797,0,1,0,67,170,4
118,10,10,37,249.797,0,0,0,83,172,4
289,36,13,33,249.797,2,1,1,90,172,8
235,20,13,43,249.797,1,1,0,106,167,8
291,31,12,40,249.797,1,1,1,73,171,4
179,51,18,38,249.797,0,1,0,89,170,4
179,22,17,40,249.797,2,0,0,63,170,8
330,16,4,28,249.797,0,0,0,84,182,16
235,11,14,37,249.797,1,0,1,88,172,4
246,25,16,41,249.797,0,1,0,67,170,1
118,10,10,37,249.797,0,0,0,83,172,5
291,31,12,40,249.797,1,1,1,73,171,2
260,50,11,36,249.797,4,1,0,65,168,3
246,25,16,41,261.756,0,1,0,67,170,1
246,25,16,41,261.756,0,1,0,67,170,1
118,10,10,37,261.756,0,0,0,83,172,3
155,12,14,34,261.756,2,1,0,95,196,2
291,31,12,40,261.756,1,1,1,73,171,2
179,26,9,30,261.756,0,0,0,56,171,8
248,25,14,47,261.756,2,0,1,86,165,1
179,51,18,38,261.756,0,1,0,89,170,4
225,26,9,28,261.756,1,0,2,69,169,1
179,26,9,30,261.756,0,0,0,56,171,2
369,17,12,31,261.756,3,1,0,70,169,8
361,52,3,28,261.756,1,1,4,80,172,8
289,48,29,49,284.853,0,0,2,108,172,1
235,16,8,32,284.853,0,0,0,75,178,3
246,25,16,41,284.853,0,1,0,67,170,8
289,48,29,49,284.853,0,0,2,108,172,3
291,31,12,40,284.853,1,1,1,73,171,2
118,10,10,37,284.853,0,0,0,83,172,2
289,48,29,49,284.853,0,0,2,108,172,2
291,31,12,40,284.853,1,1,1,73,171,1
225,26,9,28,284.853,1,0,2,69,169,2
369,17,12,31,284.853,3,1,0,70,169,8
369,17,12,31,284.853,3,1,0,70,169,3
225,26,9,28,284.853,1,0,2,69,169,4
369,17,12,31,284.853,3,1,0,70,169,8
179,51,18,38,284.853,0,1,0,89,170,3
228,14,16,58,284.853,2,0,1,65,172,1
291,31,12,40,284.853,1,1,1,73,171,1
369,17,12,31,284.853,3,1,0,70,169,8
225,26,9,28,284.853,1,0,2,69,169,1
369,17,12,31,284.853,3,1,0,70,169,8
225,26,9,28,284.853,1,0,2,69,169,3
189,29,13,33,284.853,2,0,2,69,167,8
235,16,8,32,284.853,0,0,0,75,178,8
248,25,14,47,284.853,2,0,1,86,165,8
225,26,9,28,284.853,1,0,2,69,169,0
225,26,9,28,284.853,1,0,2,69,169,3
179,51,18,38,268.519,0,1,0,89,170,1
118,10,10,37,268.519,0,0,0,83,172,3
330,16,4,28,268.519,0,0,0,84,182,24
179,51,18,38,268.519,0,1,0,89,170,1
118,10,10,37,268.519,0,0,0,83,172,8
289,36,13,33,268.519,2,1,1,90,172,8
235,16,8,32,268.519,0,0,0,75,178,8
225,26,9,28,268.519,1,0,2,69,169,4
361,52,3,28,268.519,1,1,4,80,172,8
291,31,12,40,268.519,1,1,1,73,171,2
118,10,10,37,268.519,0,0,0,83,172,2
225,26,9,28,268.519,1,0,2,69,169,3
179,51,18,38,268.519,0,1,0,89,170,1
118,10,10,37,268.519,0,0,0,83,172,8
118,10,10,37,268.519,0,0,0,83,172,8
225,26,9,28,268.519,1,0,2,69,169,2
291,31,12,40,268.519,1,1,1,73,171,0
289,36,13,33,268.519,2,1,1,90,172,0
248,25,14,47,268.519,2,0,1,86,165,4
235,20,13,43,268.519,1,1,0,106,167,0
225,26,9,28,268.519,1,0,2,69,169,2
369,17,12,31,268.519,3,1,0,70,169,8
361,52,3,28,268.519,1,1,4,80,172,2
179,51,18,38,280.549,0,1,0,89,170,32
291,31,12,40,280.549,1,1,1,73,171,1
225,26,9,28,280.549,1,0,2,69,169,3
179,26,9,30,280.549,0,0,0,56,171,1
225,26,9,28,280.549,1,0,2,69,169,3
225,26,9,28,280.549,1,0,2,69,169,3
361,52,3,28,280.549,1,1,4,80,172,4
179,22,17,40,280.549,2,0,0,63,170,2
235,20,13,43,280.549,1,1,0,106,167,8
233,51,1,31,280.549,1,1,8,68,178,8
179,26,9,30,280.549,0,0,0,56,171,16
225,26,9,28,280.549,1,0,2,69,169,2
225,26,9,28,280.549,1,0,2,69,169,3
225,26,9,28,280.549,1,0,2,69,169,2
155,12,14,34,280.549,2,1,0,95,196,80
179,26,9,30,313.532,0,0,0,56,171,24
179,26,9,30,313.532,0,0,0,56,171,16
179,22,17,40,313.532,2,0,0,63,170,2
179,22,17,40,313.532,2,0,0,63,170,2
179,26,9,30,313.532,0,0,0,56,171,3
179,22,17,40,313.532,2,0,0,63,170,2
289,48,29,49,313.532,0,0,2,108,172,8
179,22,17,40,313.532,2,0,0,63,170,3
